date,corridor,hour,avg_speed,occupancy
2016-01-01,Corredor Norte,8,32,0.75
2016-01-01,Corredor Norte,9,30,0.78
2016-01-01,Corredor Sur,8,40,0.60
2016-01-01,Corredor Sur,18,28,0.88
2016-01-01,Corredor Este,12,45,0.45
2016-01-01,Corredor Oeste,17,22,0.92
2017-06-15,Corredor Norte,8,34,0.72
2017-06-15,Corredor Sur,18,29,0.84
2017-06-15,Corredor Este,12,44,0.42
2018-03-10,Corredor Oeste,17,21,0.91
2018-11-20,Corredor Norte,7,36,0.70
2019-05-05,Corredor Sur,8,39,0.63
2019-05-05,Corredor Este,19,27,0.86
2020-09-12,Corredor Oeste,17,20,0.93
2020-09-12,Corredor Norte,8,33,0.76
2021-02-25,Corredor Sur,18,31,0.80
2021-02-25,Corredor Este,12,46,0.43
2022-08-01,Corredor Oeste,17,23,0.90
2023-07-14,Corredor Norte,9,31,0.77
2024-01-30,Corredor Sur,8,38,0.65
2024-01-30,Corredor Este,18,29,0.83
2025-04-18,Corredor Oeste,17,19,0.94
2025-04-18,Corredor Norte,8,35,0.74
2025-04-18,Corredor Sur,18,30,0.82
2025-04-18,Corredor Este,12,44,0.40
2026-05-10,Corredor Oeste,17,21,0.91
2026-05-10,Corredor Norte,8,33,0.73
2026-05-10,Corredor Sur,18,27,0.87
2026-05-10,Corredor Este,12,45,0.44
2026-06-01,Corredor Norte,8,34,0.75
2026-06-01,Corredor Sur,18,29,0.81
2026-06-01,Corredor Este,12,43,0.41
2026-06-01,Corredor Oeste,17,22,0.92
